DataElement,DataType,DataValue,TBIFlag
Patients,Characteristic: Population,"47,845",Y
Patients,Characteristic: Population,"636,288",N
Age Mean,Characteristic: Population,33,Y
Age Mean,Characteristic: Population,36,N
Age Standard Deviation,Characteristic: Population,8,Y
Age Standard Deviation,Characteristic: Population,10,N
Female,Characteristic: Gender,6%,Y
Female,Characteristic: Gender,14%,N
Male,Characteristic: Gender,94%,Y
Male,Characteristic: Gender,86%,N
White Only,Characteristic: Race,75%,Y
White Only,Characteristic: Race,67%,N
Black Only,Characteristic: Race,13%,Y
Black Only,Characteristic: Race,18%,N
Native American/Alaska Native Only,Characteristic: Race,1%,Y
Native American/Alaska Native Only,Characteristic: Race,1%,N
Asian Only,Characteristic: Race,2%,Y
Asian Only,Characteristic: Race,2%,N
Native Hawaiian/Pacific Islander Only,Characteristic: Race,1%,Y
Native Hawaiian/Pacific Islander Only,Characteristic: Race,1%,N
Multiracial,Characteristic: Race,3%,Y
Multiracial,Characteristic: Race,2%,N
Unknown,Characteristic: Race,6%,Y
Unknown,Characteristic: Race,10%,N
Non-Hispanic,Characteristic: Ethnicity,85%,Y
Non-Hispanic,Characteristic: Ethnicity,82%,N
Hispanic,Characteristic: Ethnicity,13%,Y
Hispanic,Characteristic: Ethnicity,11%,N
Unknown,Characteristic: Ethnicity,3%,Y
Unknown,Characteristic: Ethnicity,6%,N
Urban,Characteristic: Urban/Rural,70%,Y
Urban,Characteristic: Urban/Rural,71%,N
Rural,Characteristic: Urban/Rural,29%,Y
Rural,Characteristic: Urban/Rural,27%,N
Highly Rural,Characteristic: Urban/Rural,1%,Y
Highly Rural,Characteristic: Urban/Rural,1%,N
Unknown,Characteristic: Urban/Rural,1%,Y
Unknown,Characteristic: Urban/Rural,1%,N
None,Characteristic: Service Connection (Total),17%,Y
None,Characteristic: Service Connection (Total),30%,N
0%,Characteristic: Service Connection (Total),1%,Y
0%,Characteristic: Service Connection (Total),2%,N
10-40%,Characteristic: Service Connection (Total),12%,Y
10-40%,Characteristic: Service Connection (Total),24%,N
50-90%,Characteristic: Service Connection (Total),51%,Y
50-90%,Characteristic: Service Connection (Total),38%,N
100%,Characteristic: Service Connection (Total),20%,Y
100%,Characteristic: Service Connection (Total),6%,N
None,Characteristic: Service Connection for TBI,72%,Y
None,Characteristic: Service Connection for TBI,96%,N
0%,Characteristic: Service Connection for TBI,5%,Y
0%,Characteristic: Service Connection for TBI,1%,N
10-40%,Characteristic: Service Connection for TBI,19%,Y
10-40%,Characteristic: Service Connection for TBI,3%,N
50-90%,Characteristic: Service Connection for TBI,3%,Y
50-90%,Characteristic: Service Connection for TBI,0.29%,N
100%,Characteristic: Service Connection for TBI,1%,Y
100%,Characteristic: Service Connection for TBI,0.04%,N
New,Characteristic: VA User,18%,Y
New,Characteristic: VA User,19%,N
Past,Characteristic: VA User,82%,Y
Past,Characteristic: VA User,81%,N
Patients,Prevalence of Mental Health and Pain,"47,845",Y
Patients,Prevalence of Mental Health and Pain,"636,288",N
Any Mental Health,Prevalence of Mental Health and Pain,91%,Y
Any Mental Health,Prevalence of Mental Health and Pain,52%,N
PTSD,Prevalence of Mental Health and Pain,73%,Y
PTSD,Prevalence of Mental Health and Pain,28%,N
Depression,Prevalence of Mental Health and Pain,48%,Y
Depression,Prevalence of Mental Health and Pain,24%,N
Anxiety,Prevalence of Mental Health and Pain,31%,Y
Anxiety,Prevalence of Mental Health and Pain,16%,N
Bipolar,Prevalence of Mental Health and Pain,4%,Y
Bipolar,Prevalence of Mental Health and Pain,2%,N
Psychosis,Prevalence of Mental Health and Pain,3%,Y
Psychosis,Prevalence of Mental Health and Pain,1%,N
Substance Disorder,Prevalence of Mental Health and Pain,38%,Y
Substance Disorder,Prevalence of Mental Health and Pain,21%,N
Nicotine Dependence,Prevalence of Mental Health and Pain,25%,Y
Nicotine Dependence,Prevalence of Mental Health and Pain,14%,N
Headache,Prevalence of Mental Health and Pain,49%,Y
Headache,Prevalence of Mental Health and Pain,10%,N
Back Pain,Prevalence of Mental Health and Pain,50%,Y
Back Pain,Prevalence of Mental Health and Pain,28%,N
Neck Pain,Prevalence of Mental Health and Pain,16%,Y
Neck Pain,Prevalence of Mental Health and Pain,7%,N
Any Head/Back/Neck Pain,Prevalence of Mental Health and Pain,73%,Y
Any Head/Back/Neck Pain,Prevalence of Mental Health and Pain,35%,N
Mental Health and Any Pain,Prevalence of Mental Health and Pain,68%,Y
Mental Health and Any Pain,Prevalence of Mental Health and Pain,24%,N
PTSD and Any Pain,Prevalence of Mental Health and Pain,56%,Y
PTSD and Any Pain,Prevalence of Mental Health and Pain,14%,N
Patients,"Proportion of TBI, Pain of the Head, Neck or Back, and/or PSTD","684,133",T
"Mutually Exclusive: No TBI, Pain, or PTSD","Proportion of TBI, Pain of the Head, Neck or Back, and/or PSTD",47.20%,Y
Mutually Exclusive: Pain Only,"Proportion of TBI, Pain of the Head, Neck or Back, and/or PSTD",19.60%,Y
Mutually Exclusive: PTSD Only,"Proportion of TBI, Pain of the Head, Neck or Back, and/or PSTD",13.20%,Y
Mutually Exclusive: Pain and PTSD,"Proportion of TBI, Pain of the Head, Neck or Back, and/or PSTD",13.00%,Y
Mutually Exclusive: TBI Only,"Proportion of TBI, Pain of the Head, Neck or Back, and/or PSTD",0.70%,Y
Mutually Exclusive: TBI and Pain,"Proportion of TBI, Pain of the Head, Neck or Back, and/or PSTD",1.20%,Y
Mutually Exclusive: TBI and PTSD,"Proportion of TBI, Pain of the Head, Neck or Back, and/or PSTD",1.20%,Y
"Mutually Exclusive: TBI, Pain, and PTSD","Proportion of TBI, Pain of the Head, Neck or Back, and/or PSTD",3.90%,Y
Any Diagnosis: TBI,"Proportion of TBI, Pain of the Head, Neck or Back, and/or PSTD",7.00%,Y
Any Diagnosis: Pain,"Proportion of TBI, Pain of the Head, Neck or Back, and/or PSTD",37.70%,Y
Any Diagnosis: PTSD,"Proportion of TBI, Pain of the Head, Neck or Back, and/or PSTD",31.30%,Y
Patients,"Prevalence of Amputation, Genitourinary and Penetrating Eye Injury","47,845",Y
Patients,"Prevalence of Amputation, Genitourinary and Penetrating Eye Injury","636,288",N
Any Amputation,"Prevalence of Amputation, Genitourinary and Penetrating Eye Injury",1.02%,Y
Any Amputation,"Prevalence of Amputation, Genitourinary and Penetrating Eye Injury",0.21%,N
Amputation: Major,"Prevalence of Amputation, Genitourinary and Penetrating Eye Injury",0.82%,Y
Amputation: Major,"Prevalence of Amputation, Genitourinary and Penetrating Eye Injury",0.15%,N
Amputation: Minor,"Prevalence of Amputation, Genitourinary and Penetrating Eye Injury",0.23%,Y
Amputation: Minor,"Prevalence of Amputation, Genitourinary and Penetrating Eye Injury",0.06%,N
Amputation: Unspecified,"Prevalence of Amputation, Genitourinary and Penetrating Eye Injury",0.20%,Y
Amputation: Unspecified,"Prevalence of Amputation, Genitourinary and Penetrating Eye Injury",0.02%,N
Genitourinary Conditions,"Prevalence of Amputation, Genitourinary and Penetrating Eye Injury",5.66%,Y
Genitourinary Conditions,"Prevalence of Amputation, Genitourinary and Penetrating Eye Injury",5.06%,N
Penetrating Eye Injury,"Prevalence of Amputation, Genitourinary and Penetrating Eye Injury",0.20%,Y
Penetrating Eye Injury,"Prevalence of Amputation, Genitourinary and Penetrating Eye Injury",0.04%,N
Patients,Category of Care Inpatient Stays,"47,845",Y
Patients,Category of Care Inpatient Stays,"636,288",N
Any Inpatient Stay,Category of Care Inpatient Stays,12.21%,Y
Any Inpatient Stay,Category of Care Inpatient Stays,3.43%,N
General Medicine,Category of Care Inpatient Stays,3.29%,Y
General Medicine,Category of Care Inpatient Stays,1.17%,N
Surgery,Category of Care Inpatient Stays,1.37%,Y
Surgery,Category of Care Inpatient Stays,0.65%,N
Psychiatry,Category of Care Inpatient Stays,6.42%,Y
Psychiatry,Category of Care Inpatient Stays,1.42%,N
Substance Abuse,Category of Care Inpatient Stays,0.07%,Y
Substance Abuse,Category of Care Inpatient Stays,0.02%,N
Spinal Cord,Category of Care Inpatient Stays,0.10%,Y
Spinal Cord,Category of Care Inpatient Stays,0.02%,N
Any Rehabilitation,Category of Care Inpatient Stays,0.36%,Y
Any Rehabilitation,Category of Care Inpatient Stays,0.01%,N
Polytrauma Rehab,Category of Care Inpatient Stays,0.16%,Y
Polytrauma Rehab,Category of Care Inpatient Stays,--,N
PM&R Transitional Rehab,Category of Care Inpatient Stays,0.09%,Y
PM&R Transitional Rehab,Category of Care Inpatient Stays,--,N
Rehabilitation Medicine,Category of Care Inpatient Stays,0.17%,Y
Rehabilitation Medicine,Category of Care Inpatient Stays,0.01%,N
Neurology,Category of Care Inpatient Stays,0.29%,Y
Neurology,Category of Care Inpatient Stays,0.04%,N
Intermediate,Category of Care Inpatient Stays,--,Y
Intermediate,Category of Care Inpatient Stays,0.00%,N
Any Domiciliary,Category of Care Inpatient Stays,3.93%,Y
Any Domiciliary,Category of Care Inpatient Stays,0.71%,N
Mental Health Domiciliary,Category of Care Inpatient Stays,3.16%,Y
Mental Health Domiciliary,Category of Care Inpatient Stays,0.54%,N
Nursing Home/Long Term Care,Category of Care Inpatient Stays,0.21%,Y
Nursing Home/Long Term Care,Category of Care Inpatient Stays,0.03%,N
Any Inpatient Stay,Category of Care Inpatient Length of Stay,5844,Y
Any Inpatient Stay,Category of Care Inpatient Length of Stay,21822,N
General Medicine,Category of Care Inpatient Length of Stay,1573,Y
General Medicine,Category of Care Inpatient Length of Stay,7469,N
Surgery,Category of Care Inpatient Length of Stay,655,Y
Surgery,Category of Care Inpatient Length of Stay,4147,N
Psychiatry,Category of Care Inpatient Length of Stay,3074,Y
Psychiatry,Category of Care Inpatient Length of Stay,9044,N
Substance Abuse,Category of Care Inpatient Length of Stay,34,Y
Substance Abuse,Category of Care Inpatient Length of Stay,110,N
Spinal Cord,Category of Care Inpatient Length of Stay,49,Y
Spinal Cord,Category of Care Inpatient Length of Stay,131,N
Any Rehabilitation,Category of Care Inpatient Length of Stay,170,Y
Any Rehabilitation,Category of Care Inpatient Length of Stay,88,N
Polytrauma Rehab,Category of Care Inpatient Length of Stay,75,Y
Polytrauma Rehab,Category of Care Inpatient Length of Stay,--,N
